Year,Player_Name,Matches_Batted,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Four_Wicket_Hauls,Five_Wicket_Hauls,Most_Wickets_in_Match,Runs_in_Best_Bowling_Match
2022.0,Rovman Powell,14.0,2.0,250.0,67.0,25.0,167.0,149.7,0.0,1.0,10.0,22.0,10.0,0.0,14.0,6.0,17.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,17.0
2024.0,Ruturaj Gaikwad,14.0,3.0,583.0,108.0,53.0,413.0,141.16,1.0,4.0,58.0,18.0,5.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023.0,Ruturaj Gaikwad,16.0,1.0,590.0,92.0,42.14,400.0,147.5,0.0,4.0,46.0,30.0,17.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022.0,Ruturaj Gaikwad,14.0,0.0,368.0,99.0,26.29,291.0,126.46,0.0,3.0,33.0,14.0,4.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021.0,Ruturaj Gaikwad,16.0,2.0,635.0,101.0,45.35,466.0,136.26,1.0,4.0,64.0,23.0,6.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020.0,Ruturaj Gaikwad,6.0,2.0,204.0,72.0,51.0,169.0,120.71,0.0,3.0,16.0,6.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021.0,Sachin Baby,1.0,0.0,7.0,7.0,7.0,17.0,41.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,Sachin Baby,3.0,0.0,15.0,12.0,5.0,15.0,100.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016.0,Sachin Baby,11.0,1.0,119.0,33.0,23.8,79.0,150.63,0.0,0.0,9.0,5.0,1.0,0.0,11.0,10.0,8.0,2.0,4.0,4.8,5.0,0.0,0.0,2.0,4.0
2013.0,Sachin Baby,4.0,0.0,3.0,3.0,3.0,7.0,42.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,Sai Kishore,5.0,1.0,13.0,13.0,13.0,6.0,216.67,0.0,0.0,0.0,2.0,2.0,0.0,5.0,90.0,137.0,7.0,19.57,9.13,12.86,1.0,0.0,4.0,33.0
2022.0,Sai Kishore,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,96.0,121.0,6.0,20.17,7.56,16.0,0.0,0.0,2.0,7.0
2024.0,Sam Curran,13.0,2.0,270.0,63.0,27.0,219.0,123.29,0.0,2.0,24.0,6.0,7.0,0.0,13.0,246.0,416.0,16.0,26.0,10.15,15.38,0.0,0.0,3.0,28.0
2023.0,Sam Curran,14.0,3.0,276.0,55.0,27.6,203.0,135.96,0.0,1.0,20.0,13.0,5.0,0.0,14.0,287.0,489.0,10.0,48.9,10.22,28.7,0.0,0.0,3.0,31.0
2021.0,Sam Curran,9.0,1.0,56.0,34.0,18.66,29.0,193.1,0.0,0.0,5.0,3.0,1.0,0.0,9.0,198.0,328.0,9.0,36.44,9.93,22.0,0.0,0.0,3.0,34.0
2020.0,Sam Curran,14.0,3.0,186.0,52.0,23.25,141.0,131.91,0.0,1.0,12.0,12.0,7.0,0.0,14.0,252.0,344.0,13.0,26.46,8.19,19.38,0.0,0.0,3.0,19.0
2019.0,Sam Curran,9.0,4.0,95.0,55.0,23.75,55.0,172.72,0.0,1.0,13.0,3.0,2.0,0.0,9.0,198.0,323.0,10.0,32.3,9.78,19.8,1.0,0.0,4.0,11.0
2024.0,Sameer Rizvi,8.0,1.0,51.0,21.0,12.75,43.0,118.6,0.0,0.0,4.0,2.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,Sandeep Sharma,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,228.0,311.0,13.0,23.92,8.18,17.54,0.0,1.0,5.0,18.0
